Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
13,0,Tx-I-I-I-Rx,3,-77.7485,"7.00000 0.70000 7.50000, 6.29648 0.96344 8.00000, 0.85798 3.00000 4.13524, -0.00000 2.67873 3.52555, 4.75000 0.90000 0.15000"
13,-3.3349,Tx-I-I-I-I-Rx,4,-77.7485,"7.00000 0.70000 7.50000, 7.09381 0.79712 8.00000, 8.00000 1.73525 3.17076, 6.77842 3.00000 -3.33970, 6.09162 2.28897 -7.00000, 4.75000 0.90000 0.15000"
13,-5.9329,Tx-I-I-I-I-Rx,4,-77.7485,"7.00000 0.70000 7.50000, 7.44637 0.85534 7.79479, 7.13576 0.96344 8.00000, 1.28407 3.00000 4.13525, -0.00000 2.55313 3.28719, 4.75000 0.90000 0.15000"
13,-1.797,Tx-I-I-I-Rx,3,-77.7485,"7.00000 0.70000 7.50000, 6.50241 3.00000 5.87453, 5.85337 0.00000 3.75433, 5.20433 3.00000 1.63415, 4.75000 0.90000 0.15000"
13,-2.1606,Tx-I-I-Rx,2,-77.7485,"7.00000 0.70000 7.50000, 6.86528 0.96345 8.00000, 5.82388 3.00000 4.13528, 4.75000 0.90000 0.15000"
13,-5.2432,Tx-I-I-I-Rx,3,-77.7485,"7.00000 0.70000 7.50000, 6.97067 0.70261 8.00000, 6.09062 0.78083 -7.00000, 5.21056 0.85906 8.00000, 4.75000 0.90000 0.15000"
13,-3.751,Tx-I-I-I-Rx,3,-77.7485,"7.00000 0.70000 7.50000, 5.59457 1.01078 6.24330, 8.00000 2.75004 3.65163, 7.65438 3.00000 3.27923, 4.75000 0.90000 0.15000"
13,-2.3517,Tx-I-I-I-Rx,3,-77.7485,"7.00000 0.70000 7.50000, 6.12651 2.40817 -7.00000, 5.82389 3.00000 -1.97652, 5.22289 1.82477 8.00000, 4.75000 0.90000 0.15000"
13,-3.5941,Tx-I-I-I-I-I-Rx,5,-77.7485,"7.00000 0.70000 7.50000, -0.00000 0.75749 4.15142, 10.00000 0.83961 -0.63228, 8.94818 0.84825 -1.13541, 10.00000 0.85689 -1.63854, 9.24452 0.86309 -2.00000, 4.75000 0.90000 0.15000"
13,-3.7664,Tx-I-I-I-Rx,3,-77.7485,"7.00000 0.70000 7.50000, 5.59439 1.01168 6.24303, 8.00000 2.75063 3.65135, 7.65511 3.00000 3.27978, 4.75000 0.90000 0.15000"
13,-1.305,Tx-I-I-I-Rx,3,-77.7485,"7.00000 0.70000 7.50000, -0.00000 2.08426 5.18764, 4.63058 3.00000 3.65798, 10.00000 1.93821 1.88428, 4.75000 0.90000 0.15000"
